datetime;%;plugged
2021-04-12 23:21:47;77;0
2021-04-12 23:22:47;76;0
2021-04-12 23:23:47;75;0
2021-04-12 23:24:47;74;0
2021-04-12 23:25:47;73;0
2021-04-12 23:26:47;72;0
2021-04-12 23:27:47;71;0
2021-04-12 23:28:47;70;0
2021-04-12 23:29:47;69;0
2021-04-12 23:30:47;68;0
2021-04-12 23:31:47;66;0
2021-04-12 23:32:47;64;0
2021-04-12 23:33:47;63;0
2021-04-12 23:34:47;62;0
2021-04-12 23:35:47;60;0
2021-04-12 23:36:47;59;0
2021-04-12 23:37:47;58;0
2021-04-12 23:38:47;58;0
2021-04-12 23:39:47;57;0
2021-04-12 23:40:47;56;0
2021-04-12 23:41:47;54;0
2021-04-12 23:42:47;53;0
2021-04-12 23:43:47;52;0
2021-04-12 23:44:47;50;0
2021-04-12 23:45:47;50;0
2021-04-12 23:46:47;49;0
2021-04-12 23:47:47;48;0
2021-04-12 23:48:47;47;0
2021-04-12 23:49:47;46;0
2021-04-12 23:50:47;45;0
2021-04-12 23:51:47;44;0
2021-04-12 23:52:47;43;0
2021-04-12 23:53:47;42;0
2021-04-12 23:54:47;41;0
2021-04-12 23:55:47;40;0
2021-04-12 23:56:47;39;0
2021-04-12 23:57:47;39;0
2021-04-12 23:58:47;38;0
2021-04-12 23:59:47;37;0
2021-04-13 00:00:47;36;0
2021-04-13 00:01:47;36;0
2021-04-13 00:02:47;35;0
2021-04-13 00:03:47;34;0
2021-04-13 00:04:47;33;0
2021-04-13 00:05:47;32;0
2021-04-13 00:06:47;32;0
2021-04-13 00:07:47;31;0
2021-04-13 00:08:47;30;0
2021-04-13 00:09:47;29;0
2021-04-13 00:10:47;28;0
2021-04-13 00:11:47;28;0
2021-04-13 00:12:48;27;0
2021-04-13 00:13:48;26;0
2021-04-13 00:14:48;25;0
2021-04-13 00:15:48;24;0
2021-04-13 00:16:48;24;0
2021-04-13 00:17:48;23;0
2021-04-13 00:18:48;22;0
2021-04-13 00:19:48;21;0
2021-04-13 00:20:48;20;0
2021-04-13 00:21:48;19;0
